OpenCC繁體,香港繁體,臺灣正體,大陸簡體,日本簡體,異體字
平,平,平,平,平,
袈,袈,袈,袈,袈,
遙,遙,遙,遥,遙,遥
鎔,鎔,鎔,镕,鎔,熔镕
篷,篷,篷,篷,篷,
隱,隱,隱,隐,隠,乚隐隠
求,求,求,求,求,
糧,糧,糧,粮,糧,粮
刷,刷,刷,刷,刷,㕞
塢,塢,塢,坞,塢,坞鄔隖隝
惘,惘,惘,惘,惘,
扎,扎,扎,扎,扎,紥紮
沒,沒,沒,没,没,没
瞠,瞠,瞠,瞠,瞠,瞪
伕,伕,伕,伕,伕,夫
山,山,山,山,山,
詬,詬,詬,诟,詬,訽诟
聚,聚,聚,聚,聚,
含,含,含,含,含,
皚,皚,皚,皑,皚,皑
抗,抗,抗,抗,抗,
鍥,鍥,鍥,锲,鍥,锲
唱,唱,唱,唱,唱,
舜,舜,舜,舜,舜,
斃,斃,斃,毙,斃,毙
愿,愿,愿,愿,愿,願
蚩,蚩,蚩,蚩,蚩,
蛔,蛔,蛔,蛔,蛔,蚘蛕蜖
眺,眺,眺,眺,眺,
漪,漪,漪,漪,漪,
鎭,鎭,鎭,镇,鎭,鎮
叮,叮,叮,叮,叮,
印,印,印,印,印,
聯,聯,聯,联,聯,联聨聫聮
黨,黨,黨,党,党,党
窺,窺,窺,窥,窺,窥
杜,杜,杜,杜,杜,
盧,盧,盧,卢,盧,卢
狡,狡,狡,狡,狡,
愧,愧,愧,愧,愧,媿
式,式,式,式,式,
哥,哥,哥,哥,哥,
鯊,鯊,鯊,鲨,鯊,魦鯋鲨
企,企,企,企,企,
娓,娓,娓,娓,娓,
耕,耕,耕,耕,耕,畊簡
瞄,瞄,瞄,瞄,瞄,
盒,盒,盒,盒,盒,
柜,柜,柜,柜,柜,櫃
堤,堤,堤,堤,堤,隄
腎,腎,腎,肾,腎,肾
忘,忘,忘,忘,忘,
吻,吻,吻,吻,吻,呡肳
氐,氐,氐,氐,氐,
嬸,嬸,嬸,婶,嬸,婶
鸚,鸚,鸚,鹦,鸚,鹦
吞,吞,吞,吞,吞,呑
痹,痺,痺,痹,痺,痺
蛻,蜕,蛻,蜕,蛻,蜕
灘,灘,灘,滩,灘,滩潬
貲,貲,貲,赀,貲,赀
冀,冀,冀,冀,冀,
該,該,該,该,該,该
呢,呢,呢,呢,呢,
甄,甄,甄,甄,甄,
岷,岷,岷,岷,岷,
討,討,討,讨,討,讨
埋,埋,埋,埋,埋,
蕊,蕊,蕊,蕊,蕊,蕋蘂
脅,脅,脅,胁,脅,胁脇
髻,髻,髻,髻,髻,䯻
織,織,織,织,織,织
怡,怡,怡,怡,怡,
鄰,鄰,鄰,邻,鄰,邻隣
俳,俳,俳,俳,俳,
過,過,過,过,過,过
垃,垃,垃,垃,垃,
濬,濬,濬,濬,濬,浚
逐,逐,逐,逐,逐,
競,競,競,竞,競,竞竸誩
淙,淙,淙,淙,淙,
禽,禽,禽,禽,禽,
勇,勇,勇,勇,勇,
容,容,容,容,容,
蒙,蒙,蒙,蒙,蒙,懞朦濛矇苎
傘,傘,傘,伞,傘,伞繖
瓊,瓊,瓊,琼,瓊,琼
庠,庠,庠,庠,庠,
氤,氤,氤,氤,氤,絪
琴,琴,琴,琴,琴,
椅,椅,椅,椅,椅,
裔,裔,裔,裔,裔,
專,專,專,专,専,专専耑
精,精,精,精,精,
棋,棋,棋,棋,棋,棊碁
蟻,蟻,蟻,蚁,蟻,蚁螘
謠,謠,謠,谣,謡,謡谣
蒿,蒿,蒿,蒿,蒿,
遁,遁,遁,遁,遁,
人,人,人,人,人,亻
櫓,櫓,櫓,橹,櫓,㯭樐橹舮舻艣艪艫
戛,戛,戛,戛,戛,戞
躅,躅,躅,躅,躅,䠱
懷,懷,懷,怀,懐,怀怌懐
辛,辛,辛,辛,辛,
吐,吐,吐,吐,吐,
磊,磊,磊,磊,磊,磥
黜,黜,黜,黜,黜,
砭,砭,砭,砭,砭,
咻,咻,咻,咻,咻,
無,無,無,无,無,无橆
聊,聊,聊,聊,聊,
貼,貼,貼,贴,貼,贴
菅,菅,菅,菅,菅,
恿,恿,恿,恿,恿,慂
饋,饋,饋,馈,饋,櫃餽馈
示,示,示,示,示,礻
郵,郵,郵,邮,郵,邮
淵,淵,淵,渊,淵,渊渕
曝,曝,曝,曝,曝,
醒,醒,醒,醒,醒,
瑚,瑚,瑚,瑚,瑚,
付,付,付,付,付,
曱,曱,曱,曱,曱,
呶,呶,呶,呶,呶,
僑,僑,僑,侨,僑,侨
鬨,鬨,鬨,哄,鬨,哄閧
保,保,保,保,保,
揹,揹,揹,揹,揹,背
岫,岫,岫,岫,岫,峀
敘,敍,敘,叙,叙,叙敍
羯,羯,羯,羯,羯,
眩,眩,眩,眩,眩,
綱,綱,綱,纲,綱,纲
望,望,望,望,望,朢
搶,搶,搶,抢,搶,抢
孕,孕,孕,孕,孕,
痳,痳,痳,痳,痳,痲
塘,塘,塘,塘,塘,
睛,睛,睛,睛,睛,
滬,滬,滬,沪,滬,沪
詼,詼,詼,诙,詼,诙
糰,糰,糰,团,糰,䊜团
